sample_complexity,v,q,m1,m2,b,test_error,train_error,train_loss,t,lambda
0.1,9000.765490028836,0.1850463982158334,0.16661955606829032,-0.16661955597204436,-1.347443472162371e-09,0.30617768100000325,0.0,5.5790515482629e-08,42,0.0001
0.30000000000000004,7002.486553555728,0.5351670924694366,0.37489821892165576,-0.37489821892165576,-1.8115504127763253e-20,0.25470073400000115,0.0,6.967993289904906e-08,50,0.0001
0.5000000000000001,5004.7137151482475,0.9980639412389463,0.4998487100388259,-0.4998487100388259,-3.2370578066513606e-38,0.2593281300000024,0.0,1.3945698757081506e-07,80,0.0001
0.7000000000000001,3008.4524147394022,1.9343873201624455,0.5830896766579658,-0.5830896766579658,-3.6637894710473775e-70,0.2925500929999983,0.0,5.407523133696457e-07,144,0.0001
0.9000000000000001,1022.443510348634,6.168676207835741,0.6421834585960708,-0.6421834585960708,-2.4976951569245412e-169,0.36646021400000106,0.0,1.2477216023276598e-05,447,0.0001
1.1000000000000003,18.84787330525571,6.952109745844956,0.656243712974141,-0.656243712974141,-1.037581239130384e-272,0.3712044860000003,1.4999999999987246e-05,0.03095068270224369,466,0.0001
1.3000000000000003,5.9614788796296425,2.6955723211457365,0.6412915921718996,-0.6412915921718996,-5.83e-322,0.30502117899999887,0.001354999999999995,0.08282716656722378,222,0.0001
1.5000000000000004,3.405025954391364,1.786592197158674,0.6297518365969218,-0.6297518365969218,-5e-324,0.271414384000002,0.005630000000000024,0.12383090295368313,145,0.0001
1.7000000000000004,2.3383837653903097,1.3876645155055902,0.620529571666561,-0.620529571666561,-5e-324,0.24908405000000114,0.011854999999999949,0.15605248868911129,113,0.0001
1.9000000000000004,1.761106345871929,1.1617595609508666,0.6129258467294503,-0.6129258467294503,-5e-324,0.2333079670000001,0.018625000000000003,0.18298809206132893,96,0.0001
2.1000000000000005,1.4025100669621442,1.015539431874252,0.6065091172057357,-0.6065091172057357,-5e-324,0.22142122199999764,0.02559,0.2057701731520475,84,0.0001
2.3000000000000007,1.1596610357988786,0.9127323996370151,0.6009963698988445,-0.6009963698988445,-5e-324,0.21200978499999903,0.03153499999999998,0.22518901069207933,76,0.0001
2.5000000000000004,0.9851134687951059,0.8362594564928737,0.5961924710390265,-0.5961924710390265,-5e-324,0.20451246300000026,0.03729499999999997,0.24455617025082096,70,0.0001
2.7000000000000006,0.8540601312441944,0.7769990311148001,0.5919568273710708,-0.5919568273710708,-5e-324,0.19833500700000142,0.042869999999999964,0.25618769053314,66,0.0001
2.900000000000001,0.7523211760101093,0.7296322116694209,0.5881859573619261,-0.5881859573619261,-5e-324,0.19226616199999957,0.04749000000000003,0.26856619469053283,62,0.0001
3.1000000000000005,0.6712238130694281,0.6908394663255555,0.5848009939826744,-0.5848009939826744,-5e-324,0.1880478100000004,0.05146000000000006,0.28072677678232083,59,0.0001
3.3000000000000007,0.6051787876164201,0.6584401761204866,0.5817407744469771,-0.5817407744469771,-5e-324,0.1843086629999988,0.056379999999999986,0.29038035245600036,57,0.0001
3.500000000000001,0.5504276686372415,0.6309395509761591,0.5789566335713086,-0.5789566335713086,-5e-324,0.1802959910000011,0.05952999999999997,0.3011604811041809,54,0.0001
3.7000000000000006,0.5043573234529143,0.6072823115649303,0.5764104072986784,-0.5764104072986784,-5e-324,0.1775902050000002,0.06313999999999997,0.3080181109592624,53,0.0001
3.900000000000001,0.46509236386496144,0.5866948790406713,0.5740699952075028,-0.5740699952075028,-5e-324,0.17459597899999918,0.06672999999999996,0.31753902854646415,51,0.0001
4.1000000000000005,0.43125802582289113,0.568603508811939,0.5719099720566827,-0.5719099720566827,-5e-324,0.17181705499999889,0.06884000000000001,0.32382339716037567,50,0.0001
4.300000000000001,0.40182060808964243,0.5525672517829474,0.5699082031148375,-0.5699082031148375,-5e-324,0.16979001500000082,0.07170499999999991,0.32930597574317927,48,0.0001
4.500000000000001,0.3759918253689489,0.5382466459905666,0.5680468738563855,-0.5680468738563855,-5e-324,0.16735760200000152,0.07304,0.33647389961739377,47,0.0001
4.7,0.3531587119978245,0.5253730724962534,0.5663106104647967,-0.5663106104647967,-5e-324,0.16543710899999947,0.07617000000000007,0.34153923708762457,46,0.0001
4.9,0.33283844624359854,0.5137322263227242,0.564686428070071,-0.564686428070071,-5e-324,0.16382350899999884,0.07767000000000002,0.34653298952055156,45,0.0001
